Fréquence (Hz)	Niveau (dB)
43,066406	-37,694965
86,132812	-37,826263
129,199219	-34,928223
172,265625	-32,747108
215,332031	-31,745964
258,398438	-32,533226
301,464844	-34,074192
344,531250	-36,155029
387,597656	-38,353989
430,664062	-37,948753
473,730469	-34,118462
516,796875	-31,660683
559,863281	-30,659580
602,929688	-28,036222
645,996094	-26,369137
689,062500	-26,268032
732,128906	-27,158543
775,195312	-27,544729
818,261719	-27,477888
861,328125	-24,980007
904,394531	-21,725830
947,460938	-21,306177
990,527344	-24,318281
1033,593750	-30,427402
1076,660156	-30,676180
1119,726562	-25,233368
1162,792969	-24,034679
1205,859375	-26,079700
1248,925781	-29,761284
1291,992188	-27,279060
1335,058594	-23,778580
1378,125000	-23,755672
1421,191406	-27,420246
1464,257812	-32,064774
1507,324219	-32,274242
1550,390625	-27,780287
1593,457031	-27,437538
1636,523438	-31,472025
1679,589844	-33,695263
1722,656250	-28,838650
1765,722656	-24,379578
1808,789062	-21,181461
1851,855469	-20,369015
1894,921875	-22,303976
1937,988281	-25,963362
1981,054688	-28,093523
2024,121094	-25,660536
2067,187500	-24,222229
2110,253906	-24,828253
2153,320312	-26,689753
2196,386719	-29,636192
2239,453125	-34,800644
2282,519531	-34,274269
2325,585938	-31,710276
2368,652344	-31,281000
2411,718750	-32,839264
2454,785156	-34,114723
2497,851562	-34,171375
2540,917969	-37,205441
2583,984375	-36,930492
2627,050781	-31,935762
2670,117188	-32,036869
2713,183594	-34,774551
2756,250000	-31,999327
2799,316406	-29,187937
2842,382812	-29,135576
2885,449219	-29,375368
2928,515625	-29,340012
2971,582031	-26,860552
3014,648438	-24,291101
3057,714844	-22,300463
3100,781250	-21,787195
3143,847656	-23,056431
3186,914062	-25,846645
3229,980469	-28,291920
3273,046875	-31,507090
3316,113281	-38,703594
3359,179688	-38,448177
3402,246094	-33,309875
3445,312500	-31,062727
3488,378906	-30,438251
3531,445312	-33,137974
3574,511719	-33,671101
3617,578125	-30,810425
3660,644531	-31,599741
3703,710938	-35,759480
3746,777344	-34,353802
3789,843750	-30,061615
3832,910156	-30,149181
3875,976562	-35,146046
3919,042969	-35,061989
3962,109375	-31,920296
4005,175781	-34,056046
4048,242188	-39,035313
4091,308594	-37,548801
4134,375000	-36,074478
4177,441406	-38,129982
4220,507812	-40,927055
4263,574219	-36,903042
4306,640625	-35,625931
4349,707031	-36,578201
4392,773438	-40,617687
4435,839844	-36,307529
4478,906250	-32,658092
4521,972656	-33,925602
4565,039062	-39,054565
4608,105469	-36,598324
4651,171875	-33,731236
4694,238281	-34,808247
4737,304688	-36,341610
4780,371094	-38,126186
4823,437500	-41,592819
4866,503906	-40,251823
4909,570312	-36,328316
4952,636719	-37,240150
4995,703125	-39,520592
5038,769531	-34,641682
5081,835938	-33,540249
5124,902344	-34,254543
5167,968750	-34,095104
5211,035156	-35,829201
5254,101562	-41,682610
5297,167969	-39,227989
5340,234375	-36,993279
5383,300781	-39,524612
5426,367188	-42,333565
5469,433594	-37,220295
5512,500000	-35,113503
5555,566406	-36,424709
5598,632812	-40,871269
5641,699219	-38,487637
5684,765625	-35,416397
5727,832031	-36,475681
5770,898438	-41,302971
5813,964844	-44,945011
5857,031250	-40,736244
5900,097656	-42,788452
5943,164062	-39,740334
5986,230469	-33,553902
6029,296875	-31,326044
6072,363281	-32,120220
6115,429688	-36,109577
6158,496094	-38,385296
6201,562500	-34,303043
6244,628906	-33,151920
6287,695312	-35,570927
6330,761719	-39,762104
6373,828125	-37,029682
6416,894531	-35,478729
6459,960938	-36,876137
6503,027344	-38,918804
6546,093750	-40,703045
6589,160156	-42,291706
6632,226562	-39,595978
6675,292969	-36,055698
6718,359375	-33,838367
6761,425781	-33,795448
6804,492188	-35,402306
6847,558594	-37,521908
6890,625000	-36,560566
6933,691406	-34,781281
6976,757812	-35,496197
7019,824219	-40,169971
7062,890625	-43,978523
7105,957031	-40,107559
7149,023438	-37,979160
7192,089844	-38,617359
7235,156250	-42,609985
7278,222656	-46,440353
7321,289062	-39,944359
7364,355469	-36,452637
7407,421875	-35,888462
7450,488281	-38,786449
7493,554688	-41,551395
7536,621094	-39,344093
7579,687500	-38,981941
7622,753906	-41,938858
7665,820312	-44,764927
7708,886719	-41,430527
7751,953125	-41,899117
7795,019531	-42,980968
7838,085938	-43,222683
7881,152344	-42,235153
7924,218750	-40,850903
7967,285156	-39,096375
8010,351562	-37,585331
8053,417969	-36,810383
8096,484375	-37,228848
8139,550781	-40,102650
8182,617188	-40,881630
8225,683594	-39,465603
8268,750000	-41,847775
8311,816406	-47,829624
8354,882812	-42,995293
8397,949219	-38,695652
8441,015625	-38,188610
8484,082031	-40,419964
8527,148438	-43,708054
8570,214844	-39,509705
8613,281250	-37,299961
8656,347656	-38,364204
8699,414062	-41,406254
8742,480469	-46,585953
8785,546875	-49,382538
8828,613281	-48,084785
8871,679688	-50,845566
8914,746094	-54,802292
8957,812500	-55,004887
9000,878906	-56,997597
9043,945312	-57,214294
9087,011719	-52,479576
9130,078125	-50,275124
9173,144531	-47,163250
9216,210938	-43,926838
9259,277344	-43,386112
9302,343750	-44,330242
9345,410156	-45,799519
9388,476562	-46,949448
9431,542969	-46,347385
9474,609375	-43,130768
9517,675781	-42,025204
9560,742188	-41,549297
9603,808594	-41,974682
9646,875000	-41,455791
9689,941406	-41,838547
9733,007812	-44,302883
9776,074219	-46,722073
9819,140625	-44,085777
9862,207031	-42,849491
9905,273438	-43,810188
9948,339844	-44,750904
9991,406250	-42,429173
10034,472656	-41,199898
10077,539062	-42,235703
10120,605469	-44,345291
10163,671875	-45,207710
10206,738281	-45,309422
10249,804688	-44,037846
10292,871094	-43,717022
10335,937500	-45,901245
10379,003906	-51,310165
10422,070312	-59,867569
10465,136719	-58,073940
10508,203125	-58,251102
10551,269531	-58,095268
10594,335938	-54,692436
10637,402344	-55,963654
10680,468750	-50,584045
10723,535156	-45,237507
10766,601562	-42,556152
10809,667969	-41,284462
10852,734375	-41,420708
10895,800781	-43,878380
10938,867188	-49,459335
10981,933594	-53,997723
11025,000000	-54,439159
11068,066406	-55,114357
11111,132812	-51,167633
11154,199219	-47,318634
11197,265625	-45,331673
11240,332031	-45,538807
11283,398438	-47,586658
11326,464844	-52,661552
11369,531250	-58,236790
11412,597656	-54,145325
11455,664062	-51,082577
11498,730469	-50,722996
11541,796875	-52,244976
11584,863281	-53,646862
11627,929688	-52,559589
11670,996094	-52,644382
11714,062500	-55,649662
11757,128906	-58,661346
11800,195312	-54,035305
11843,261719	-52,083584
11886,328125	-52,826702
11929,394531	-56,808521
11972,460938	-63,559895
12015,527344	-64,418701
12058,593750	-62,212212
12101,660156	-61,138508
12144,726562	-60,565872
12187,792969	-60,595421
12230,859375	-61,098053
12273,925781	-61,428181
12316,992188	-60,377323
12360,058594	-56,889233
12403,125000	-52,931438
12446,191406	-49,572929
12489,257812	-47,299339
12532,324219	-46,442265
12575,390625	-46,843555
12618,457031	-47,017151
12661,523438	-46,016575
12704,589844	-45,885105
12747,656250	-47,016094
12790,722656	-49,541710
12833,789062	-49,146408
12876,855469	-46,026669
12919,921875	-45,034920
12962,988281	-45,573589
13006,054688	-46,346794
13049,121094	-46,385349
13092,187500	-46,490902
13135,253906	-47,796204
13178,320312	-49,974545
13221,386719	-51,921364
13264,453125	-52,666374
13307,519531	-54,338783
13350,585938	-57,135033
13393,652344	-55,961040
13436,718750	-53,673359
13479,785156	-54,285603
13522,851562	-58,868301
13565,917969	-62,765083
13608,984375	-58,409492
13652,050781	-57,248768
13695,117188	-54,566216
13738,183594	-51,574169
13781,250000	-50,349911
13824,316406	-50,547066
13867,382812	-51,360962
13910,449219	-51,628983
13953,515625	-51,005524
13996,582031	-51,699963
14039,648438	-54,360214
14082,714844	-58,080894
14125,781250	-58,893452
14168,847656	-58,138790
14211,914062	-58,532139
14254,980469	-58,098457
14298,046875	-57,173157
14341,113281	-56,522316
14384,179688	-54,894756
14427,246094	-53,474976
14470,312500	-53,602676
14513,378906	-54,286945
14556,445312	-53,594734
14599,511719	-51,886467
14642,578125	-51,340561
14685,644531	-53,191078
14728,710938	-54,588779
14771,777344	-51,479359
14814,843750	-49,472984
14857,910156	-49,518604
14900,976562	-50,361031
14944,042969	-50,533279
14987,109375	-49,709660
15030,175781	-50,006439
15073,242188	-52,402279
15116,308594	-56,167316
15159,375000	-56,679462
15202,441406	-57,020325
15245,507812	-59,090157
15288,574219	-64,538994
15331,640625	-62,539619
15374,707031	-58,095856
15417,773438	-56,760094
15460,839844	-57,852283
15503,906250	-59,437149
15546,972656	-60,741550
15590,039062	-61,367279
15633,105469	-63,655739
15676,171875	-69,566711
15719,238281	-73,108795
15762,304688	-70,333641
15805,371094	-67,609489
15848,437500	-66,182274
15891,503906	-67,342850
15934,570312	-69,787865
15977,636719	-72,805946
16020,703125	-76,681061
16063,769531	-81,191513
16106,835938	-82,866890
16149,902344	-83,020584
16192,968750	-83,386917
16236,035156	-83,308479
16279,101562	-83,343071
16322,167969	-83,376915
16365,234375	-83,427116
16408,300781	-83,487846
16451,367188	-83,506378
16494,433594	-83,528000
16537,500000	-83,556778
16580,566406	-83,582870
16623,632812	-83,593956
16666,699219	-83,616486
16709,765625	-83,633911
16752,832031	-83,660515
16795,898438	-83,674911
16838,964844	-83,692276
16882,031250	-83,710396
16925,097656	-83,734207
16968,164062	-83,751465
17011,230469	-83,763847
17054,296875	-83,773216
17097,363281	-83,790123
17140,429688	-83,809029
17183,496094	-83,825386
17226,562500	-83,839325
17269,628906	-83,853554
17312,695312	-83,864807
17355,761719	-83,878677
17398,828125	-83,889084
17441,894531	-83,906914
17484,960938	-83,918327
17528,027344	-83,932076
17571,093750	-83,947975
17614,160156	-83,959724
17657,226562	-83,975395
17700,292969	-83,983040
17743,359375	-83,994659
17786,425781	-84,005882
17829,492188	-84,019463
17872,558594	-84,028259
17915,625000	-84,039162
17958,691406	-84,048019
18001,757812	-84,064217
18044,824219	-84,073555
18087,890625	-84,081749
18130,957031	-84,091499
18174,023438	-84,101257
18217,089844	-84,115601
18260,156250	-84,123398
18303,222656	-84,130028
18346,289062	-84,140297
18389,355469	-84,148155
18432,421875	-84,158813
18475,488281	-84,169128
18518,554688	-84,173668
18561,621094	-84,186539
18604,687500	-84,194054
18647,753906	-84,203888
18690,820312	-84,211632
18733,886719	-84,219177
18776,953125	-84,227425
18820,019531	-84,232346
18863,085938	-84,243370
18906,152344	-84,251732
18949,218750	-84,256454
18992,285156	-84,265991
19035,351562	-84,276299
19078,417969	-84,281311
19121,484375	-84,289604
19164,550781	-84,292854
19207,617188	-84,303665
19250,683594	-84,309700
19293,750000	-84,315826
19336,816406	-84,319244
19379,882812	-84,323441
19422,949219	-84,332809
19466,015625	-84,344788
19509,082031	-84,350204
19552,148438	-84,351120
19595,214844	-84,357132
19638,281250	-84,367462
19681,347656	-84,373436
19724,414062	-84,373863
19767,480469	-84,377892
19810,546875	-84,385674
19853,613281	-84,391678
19896,679688	-84,400925
19939,746094	-84,405228
19982,812500	-84,408623
20025,878906	-84,411644
20068,945312	-84,417603
20112,011719	-84,418869
20155,078125	-84,422539
20198,144531	-84,424896
20241,210938	-84,438194
20284,277344	-84,439766
20327,343750	-84,441879
20370,410156	-84,448013
20413,476562	-84,451073
20456,542969	-84,453926
20499,609375	-84,454826
20542,675781	-84,457664
20585,742188	-84,459846
20628,808594	-84,467567
20671,875000	-84,471436
20714,941406	-84,474754
20758,007812	-84,475365
20801,074219	-84,479080
20844,140625	-84,477837
20887,207031	-84,487312
20930,273438	-84,492027
20973,339844	-84,488991
21016,406250	-84,490433
21059,472656	-84,495987
21102,539062	-84,504517
21145,605469	-84,500114
21188,671875	-84,498650
21231,738281	-84,501862
21274,804688	-84,503853
21317,871094	-84,507515
21360,937500	-84,508598
21404,003906	-84,511070
21447,070312	-84,509964
21490,136719	-84,513260
21533,203125	-84,514778
21576,269531	-84,516296
21619,335938	-84,516754
21662,402344	-84,515892
21705,468750	-84,519104
21748,535156	-84,519958
21791,601562	-84,518242
21834,667969	-84,518410
21877,734375	-84,520096
21920,800781	-84,520348
21963,867188	-84,522141
22006,933594	-84,520348
