Fréquence (Hz)	Niveau (dB)
46.875000	-39.156872
93.750000	-40.971603
140.625000	-44.806519
187.500000	-46.806004
234.375000	-33.194748
281.250000	-28.028551
328.125000	-26.151138
375.000000	-26.214628
421.875000	-27.255146
468.750000	-29.132099
515.625000	-29.998472
562.500000	-30.243486
609.375000	-31.092260
656.250000	-30.926912
703.125000	-31.655584
750.000000	-34.682465
796.875000	-38.545128
843.750000	-40.827778
890.625000	-41.607742
937.500000	-44.716145
984.375000	-48.943123
1031.250000	-51.433640
1078.125000	-47.726082
1125.000000	-51.303654
1171.875000	-47.523548
1218.750000	-41.292561
1265.625000	-33.529915
1312.500000	-29.848751
1359.375000	-29.019367
1406.250000	-28.000519
1453.125000	-27.091795
1500.000000	-27.508797
1546.875000	-27.533007
1593.750000	-26.318455
1640.625000	-25.402489
1687.500000	-24.758360
1734.375000	-23.306309
1781.250000	-21.960770
1828.125000	-21.866636
1875.000000	-22.109568
1921.875000	-22.158735
1968.750000	-23.087864
2015.625000	-24.095377
2062.500000	-24.259321
2109.375000	-24.643942
2156.250000	-25.380632
2203.125000	-26.397232
2250.000000	-27.730167
2296.875000	-29.742765
2343.750000	-31.622503
2390.625000	-31.263288
2437.500000	-29.956854
2484.375000	-29.181114
2531.250000	-27.939810
2578.125000	-26.772999
2625.000000	-26.560137
2671.875000	-26.206934
2718.750000	-25.701141
2765.625000	-25.578766
2812.500000	-25.074606
2859.375000	-24.871256
2906.250000	-25.986872
2953.125000	-27.864428
3000.000000	-29.653620
3046.875000	-31.329433
3093.750000	-31.930822
3140.625000	-30.705593
3187.500000	-28.957048
3234.375000	-28.290495
3281.250000	-28.923075
3328.125000	-30.414804
3375.000000	-32.798939
3421.875000	-36.021675
3468.750000	-39.232738
3515.625000	-42.430016
3562.500000	-44.100689
3609.375000	-43.342415
3656.250000	-43.176380
3703.125000	-41.734959
3750.000000	-41.381771
3796.875000	-41.898441
3843.750000	-41.586353
3890.625000	-41.270454
3937.500000	-40.541275
3984.375000	-39.515095
4031.250000	-37.872730
4078.125000	-37.433327
4125.000000	-37.485847
4171.875000	-37.257084
4218.750000	-37.743244
4265.625000	-38.613461
4312.500000	-40.662476
4359.375000	-43.958172
4406.250000	-52.049538
4453.125000	-52.454193
4500.000000	-48.839890
4546.875000	-47.472515
4593.750000	-43.188976
4640.625000	-41.437035
4687.500000	-40.367554
4734.375000	-40.021648
4781.250000	-41.457794
4828.125000	-42.194527
4875.000000	-40.214569
4921.875000	-39.234596
4968.750000	-37.908039
5015.625000	-37.549446
5062.500000	-38.243244
5109.375000	-38.429356
5156.250000	-38.575081
5203.125000	-37.276459
5250.000000	-35.289204
5296.875000	-34.221928
5343.750000	-33.543594
5390.625000	-33.277531
5437.500000	-34.569859
5484.375000	-36.828697
5531.250000	-38.950100
5578.125000	-41.658092
5625.000000	-42.070553
5671.875000	-41.641659
5718.750000	-42.757431
5765.625000	-46.286999
5812.500000	-57.492603
5859.375000	-53.464611
5906.250000	-46.905411
5953.125000	-45.414249
6000.000000	-44.364937
6046.875000	-41.260288
6093.750000	-38.732754
6140.625000	-37.775349
6187.500000	-36.963043
6234.375000	-35.989162
6281.250000	-36.053703
6328.125000	-37.191463
6375.000000	-38.712608
6421.875000	-39.687214
6468.750000	-39.876350
6515.625000	-38.213608
6562.500000	-36.188354
6609.375000	-34.138142
6656.250000	-32.793522
6703.125000	-32.117374
6750.000000	-30.827091
6796.875000	-29.539255
6843.750000	-28.315945
6890.625000	-27.385006
6937.500000	-27.857040
6984.375000	-29.874214
7031.250000	-31.968487
7078.125000	-34.648827
7125.000000	-40.774334
7171.875000	-45.947285
7218.750000	-52.136162
7265.625000	-47.128448
7312.500000	-43.850582
7359.375000	-44.087593
7406.250000	-41.926064
7453.125000	-40.131306
7500.000000	-40.289314
7546.875000	-39.092060
7593.750000	-37.981087
7640.625000	-38.296387
7687.500000	-38.696121
7734.375000	-40.179390
7781.250000	-44.109398
7828.125000	-52.693676
7875.000000	-52.972084
7921.875000	-48.012356
7968.750000	-46.652729
8015.625000	-46.025387
8062.500000	-47.142845
8109.375000	-49.744263
8156.250000	-51.411572
8203.125000	-49.856655
8250.000000	-47.379543
8296.875000	-46.398460
8343.750000	-44.517776
8390.625000	-43.420074
8437.500000	-44.749874
8484.375000	-46.321651
8531.250000	-46.457993
8578.125000	-45.222782
8625.000000	-43.545071
8671.875000	-41.768063
8718.750000	-39.894623
8765.625000	-39.091022
8812.500000	-38.681427
8859.375000	-37.828651
8906.250000	-37.796368
8953.125000	-37.681252
9000.000000	-37.099262
9046.875000	-37.031784
9093.750000	-37.118439
9140.625000	-37.280342
9187.500000	-37.934273
9234.375000	-38.849384
9281.250000	-39.811813
9328.125000	-42.278137
9375.000000	-46.471230
9421.875000	-51.859840
9468.750000	-54.950642
9515.625000	-52.595711
9562.500000	-53.458954
9609.375000	-50.127594
9656.250000	-45.279438
9703.125000	-42.680840
9750.000000	-41.342285
9796.875000	-41.244133
9843.750000	-43.065834
9890.625000	-46.967720
9937.500000	-52.078434
9984.375000	-68.360138
10031.250000	-54.632973
10078.125000	-52.215698
10125.000000	-50.450371
10171.875000	-48.769508
10218.750000	-48.393314
10265.625000	-47.243370
10312.500000	-46.104652
10359.375000	-46.334034
10406.250000	-48.250004
10453.125000	-48.795307
10500.000000	-50.351730
10546.875000	-51.349403
10593.750000	-51.699734
10640.625000	-54.739288
10687.500000	-57.422726
10734.375000	-54.616024
10781.250000	-58.361309
10828.125000	-71.645874
10875.000000	-70.349083
10921.875000	-57.521999
10968.750000	-54.322628
11015.625000	-53.701984
11062.500000	-53.657890
11109.375000	-52.860512
11156.250000	-50.886864
11203.125000	-50.724972
11250.000000	-52.311386
11296.875000	-53.855469
11343.750000	-55.274025
11390.625000	-55.193504
11437.500000	-54.202946
11484.375000	-53.001343
11531.250000	-50.218014
11578.125000	-47.707939
11625.000000	-45.762341
11671.875000	-44.478676
11718.750000	-44.297699
11765.625000	-44.852345
11812.500000	-47.266006
11859.375000	-53.059132
11906.250000	-59.669483
11953.125000	-49.079521
12000.000000	-44.984371
12046.875000	-43.050255
12093.750000	-42.549072
12140.625000	-43.134304
12187.500000	-43.914005
12234.375000	-45.098228
12281.250000	-46.283176
12328.125000	-48.823856
12375.000000	-52.197853
12421.875000	-54.652428
12468.750000	-53.470860
12515.625000	-49.487289
12562.500000	-46.612503
12609.375000	-44.311199
12656.250000	-42.712910
12703.125000	-41.630516
12750.000000	-40.863140
12796.875000	-40.888683
12843.750000	-41.450737
12890.625000	-43.164421
12937.500000	-46.356380
12984.375000	-52.140770
13031.250000	-59.866501
13078.125000	-55.486485
13125.000000	-53.442768
13171.875000	-54.927284
13218.750000	-58.745144
13265.625000	-61.852924
13312.500000	-56.652561
13359.375000	-54.680901
13406.250000	-55.091953
13453.125000	-58.927723
13500.000000	-58.772598
13546.875000	-50.841961
13593.750000	-46.498558
