Fréquence (Hz)	Niveau (dB)
43,066406	-58,377266
86,132812	-53,982548
129,199219	-49,120499
172,265625	-46,034397
215,332031	-43,881607
258,398438	-38,868805
301,464844	-38,570992
344,531250	-40,449169
387,597656	-43,110188
430,664062	-40,995865
473,730469	-36,841080
516,796875	-35,310951
559,863281	-39,130852
602,929688	-44,099411
645,996094	-43,316292
689,062500	-42,307575
732,128906	-41,153057
775,195312	-40,327976
818,261719	-38,909569
861,328125	-37,238861
904,394531	-37,307068
947,460938	-37,290855
990,527344	-35,961956
1033,593750	-31,990150
1076,660156	-33,415569
1119,726562	-33,849182
1162,792969	-32,343140
1205,859375	-30,600361
1248,925781	-30,960754
1291,992188	-32,789959
1335,058594	-34,825230
1378,125000	-33,843365
1421,191406	-32,593182
1464,257812	-31,941378
1507,324219	-26,231403
1550,390625	-24,088011
1593,457031	-24,898474
1636,523438	-27,129877
1679,589844	-29,149355
1722,656250	-26,933714
1765,722656	-26,338867
1808,789062	-27,473209
1851,855469	-31,741661
1894,921875	-31,242678
1937,988281	-32,000721
1981,054688	-31,426460
2024,121094	-29,765198
2067,187500	-27,558369
2110,253906	-28,483820
2153,320312	-31,079983
2196,386719	-31,505507
2239,453125	-30,528023
2282,519531	-29,134254
2325,585938	-32,160950
2368,652344	-31,845165
2411,718750	-33,595825
2454,785156	-35,770081
2497,851562	-34,838825
2540,917969	-30,119541
2583,984375	-28,814234
2627,050781	-32,138447
2670,117188	-37,010414
2713,183594	-40,413643
2756,250000	-39,860943
2799,316406	-37,905853
2842,382812	-37,341690
2885,449219	-35,919235
2928,515625	-36,695332
2971,582031	-36,433060
3014,648438	-32,920979
3057,714844	-32,647404
3100,781250	-34,687878
3143,847656	-35,224243
3186,914062	-29,806137
3229,980469	-29,092176
3273,046875	-32,022907
3316,113281	-31,297903
3359,179688	-32,129871
3402,246094	-35,054249
3445,312500	-32,199234
3488,378906	-32,942810
3531,445312	-34,057693
3574,511719	-36,755932
3617,578125	-38,963970
3660,644531	-38,372501
3703,710938	-37,175167
3746,777344	-38,058300
3789,843750	-36,147171
3832,910156	-34,081684
3875,976562	-32,015457
3919,042969	-30,362194
3962,109375	-31,730881
4005,175781	-34,921005
4048,242188	-39,316727
4091,308594	-40,161892
4134,375000	-40,500973
4177,441406	-42,591240
4220,507812	-39,277496
4263,574219	-36,420483
4306,640625	-36,880116
4349,707031	-35,834648
4392,773438	-35,161659
4435,839844	-33,845745
4478,906250	-36,053642
4521,972656	-35,022099
4565,039062	-34,490742
4608,105469	-35,692081
4651,171875	-36,554237
4694,238281	-42,026459
4737,304688	-41,338421
4780,371094	-39,537518
4823,437500	-40,269993
4866,503906	-43,118340
4909,570312	-42,288979
4952,636719	-44,154823
4995,703125	-44,822224
5038,769531	-42,391296
5081,835938	-42,981972
5124,902344	-42,095097
5167,968750	-43,601505
5211,035156	-45,401157
5254,101562	-45,423141
5297,167969	-47,268612
5340,234375	-49,949097
5383,300781	-51,202671
5426,367188	-51,560684
5469,433594	-53,314243
5512,500000	-52,277779
5555,566406	-49,804070
5598,632812	-50,218102
5641,699219	-49,704395
5684,765625	-51,226360
5727,832031	-46,107780
5770,898438	-42,200180
5813,964844	-42,713829
5857,031250	-47,829144
5900,097656	-45,575779
5943,164062	-43,467106
5986,230469	-44,524944
6029,296875	-48,522564
6072,363281	-48,476013
6115,429688	-48,882729
6158,496094	-48,555431
6201,562500	-46,620171
6244,628906	-44,770241
6287,695312	-43,887741
6330,761719	-48,553299
6373,828125	-45,449379
6416,894531	-42,728233
6459,960938	-42,815086
6503,027344	-46,033688
6546,093750	-41,829567
6589,160156	-40,081112
6632,226562	-41,876831
6675,292969	-46,338707
6718,359375	-47,714115
6761,425781	-46,988297
6804,492188	-47,392570
6847,558594	-46,663326
6890,625000	-47,934158
6933,691406	-50,050060
6976,757812	-50,783798
7019,824219	-52,602283
7062,890625	-53,679070
7105,957031	-56,996212
7149,023438	-53,324848
7192,089844	-53,126347
7235,156250	-54,980465
7278,222656	-53,998409
7321,289062	-53,527603
7364,355469	-56,008186
7407,421875	-56,201401
7450,488281	-54,392422
7493,554688	-52,578331
7536,621094	-43,528851
7579,687500	-42,644405
7622,753906	-50,719093
7665,820312	-54,684254
7708,886719	-54,436398
7751,953125	-55,386600
7795,019531	-56,407616
7838,085938	-56,518711
7881,152344	-53,828850
7924,218750	-55,579205
7967,285156	-58,475079
