Fréquence (Hz)	Niveau (dB)
46.875000	-12.374724
93.750000	-48.245804
140.625000	-56.976738
187.500000	-59.027218
234.375000	-57.937809
281.250000	-59.319740
328.125000	-59.964554
375.000000	-60.882957
421.875000	-57.440250
468.750000	-56.182949
515.625000	-56.882492
562.500000	-58.954937
609.375000	-59.151886
656.250000	-58.478733
703.125000	-59.630127
750.000000	-60.349552
796.875000	-59.697239
843.750000	-58.995975
890.625000	-57.193970
937.500000	-57.294319
984.375000	-57.317970
1031.250000	-57.280090
1078.125000	-56.422745
1125.000000	-56.620800
1171.875000	-54.670662
1218.750000	-54.627548
1265.625000	-52.446163
1312.500000	-49.958626
1359.375000	-50.252441
1406.250000	-49.603733
1453.125000	-49.046646
1500.000000	-50.029964
1546.875000	-49.701515
1593.750000	-50.659904
1640.625000	-50.028419
1687.500000	-49.277222
1734.375000	-48.792416
1781.250000	-49.731922
1828.125000	-51.366638
1875.000000	-50.082306
1921.875000	-49.401218
1968.750000	-50.717457
2015.625000	-50.934315
2062.500000	-52.077141
2109.375000	-52.733135
2156.250000	-53.065323
2203.125000	-53.520943
2250.000000	-54.526680
2296.875000	-55.131683
2343.750000	-56.524853
2390.625000	-55.658878
2437.500000	-55.649632
2484.375000	-56.774532
2531.250000	-56.059906
2578.125000	-54.718307
2625.000000	-53.793289
2671.875000	-54.215538
2718.750000	-54.771557
2765.625000	-55.448475
2812.500000	-55.366753
2859.375000	-54.396648
2906.250000	-57.210773
2953.125000	-58.007416
3000.000000	-59.116913
3046.875000	-58.197624
3093.750000	-57.793438
3140.625000	-57.755058
3187.500000	-57.642536
3234.375000	-57.603165
3281.250000	-59.135731
3328.125000	-62.735184
3375.000000	-64.734062
3421.875000	-68.341667
3468.750000	-70.707062
3515.625000	-70.195473
3562.500000	-69.783806
3609.375000	-68.737610
3656.250000	-68.746101
3703.125000	-68.370033
3750.000000	-70.062355
3796.875000	-69.566139
3843.750000	-69.649712
3890.625000	-69.326019
3937.500000	-70.562813
3984.375000	-70.243912
4031.250000	-70.004082
4078.125000	-68.800591
4125.000000	-68.636497
4171.875000	-69.262466
4218.750000	-69.552269
4265.625000	-70.186134
4312.500000	-72.218521
4359.375000	-71.997948
4406.250000	-71.717972
4453.125000	-72.057892
4500.000000	-71.483063
4546.875000	-71.441635
4593.750000	-69.546982
4640.625000	-68.935493
4687.500000	-69.054512
4734.375000	-67.320518
4781.250000	-66.889000
4828.125000	-67.859512
4875.000000	-67.995003
4921.875000	-67.749695
4968.750000	-67.788536
5015.625000	-66.323235
5062.500000	-67.787056
5109.375000	-67.520210
5156.250000	-66.177345
5203.125000	-65.684151
5250.000000	-67.054955
5296.875000	-67.091110
5343.750000	-66.554893
5390.625000	-66.809723
5437.500000	-67.367195
5484.375000	-68.425560
5531.250000	-67.396042
5578.125000	-65.866142
5625.000000	-66.764488
5671.875000	-68.461044
5718.750000	-65.119980
5765.625000	-64.206680
5812.500000	-64.531349
5859.375000	-65.578941
5906.250000	-67.540482
5953.125000	-67.381744
6000.000000	-67.384956
6046.875000	-66.849564
6093.750000	-66.148430
6140.625000	-66.123878
6187.500000	-67.656967
6234.375000	-67.054848
6281.250000	-64.942482
6328.125000	-65.814644
6375.000000	-65.197388
6421.875000	-66.182274
6468.750000	-67.438049
6515.625000	-67.968880
6562.500000	-67.364281
6609.375000	-65.852142
6656.250000	-66.462753
6703.125000	-65.393303
6750.000000	-65.254463
6796.875000	-64.265366
6843.750000	-65.138680
6890.625000	-63.736378
6937.500000	-63.129074
6984.375000	-62.980865
7031.250000	-63.298901
7078.125000	-64.714798
7125.000000	-64.503014
7171.875000	-66.255684
7218.750000	-63.992619
7265.625000	-66.366447
7312.500000	-68.291016
7359.375000	-69.912331
7406.250000	-68.456291
7453.125000	-65.516624
7500.000000	-62.598492
7546.875000	-64.713562
7593.750000	-67.461105
7640.625000	-71.040413
7687.500000	-70.263054
7734.375000	-71.021095
7781.250000	-72.119347
7828.125000	-71.265816
7875.000000	-71.139969
7921.875000	-71.924393
7968.750000	-71.010452
8015.625000	-68.361763
8062.500000	-68.856735
8109.375000	-70.313255
8156.250000	-73.297958
8203.125000	-75.030151
8250.000000	-75.293320
8296.875000	-72.037537
8343.750000	-74.057205
8390.625000	-76.381920
8437.500000	-73.877701
8484.375000	-74.044884
8531.250000	-74.549377
8578.125000	-74.510536
8625.000000	-75.952393
8671.875000	-75.315170
8718.750000	-71.708954
8765.625000	-71.509422
8812.500000	-73.219788
8859.375000	-74.188187
8906.250000	-76.047897
8953.125000	-78.313133
9000.000000	-77.963608
9046.875000	-78.584686
9093.750000	-77.479843
9140.625000	-78.336998
9187.500000	-76.622894
9234.375000	-76.011223
9281.250000	-77.805946
9328.125000	-78.863815
9375.000000	-79.248962
9421.875000	-80.736771
9468.750000	-81.361633
9515.625000	-80.198112
9562.500000	-78.646889
9609.375000	-77.727730
9656.250000	-80.119682
9703.125000	-81.260750
9750.000000	-81.183350
9796.875000	-83.701752
9843.750000	-86.313957
9890.625000	-87.640884
9937.500000	-88.288673
9984.375000	-86.492676
10031.250000	-88.937393
10078.125000	-88.593430
10125.000000	-84.362213
10171.875000	-88.467789
10218.750000	-87.832993
10265.625000	-87.915527
10312.500000	-95.006256
10359.375000	-92.786377
10406.250000	-87.265587
10453.125000	-93.270584
10500.000000	-94.606720
10546.875000	-89.518013
10593.750000	-90.544601
10640.625000	-92.369247
10687.500000	-93.719292
10734.375000	-94.027763
10781.250000	-90.818275
10828.125000	-94.459724
10875.000000	-91.580276
10921.875000	-95.676491
10968.750000	-92.609871
11015.625000	-91.113503
11062.500000	-91.798653
11109.375000	-92.777649
11156.250000	-93.513596
11203.125000	-94.652000
11250.000000	-90.152557
11296.875000	-92.600594
11343.750000	-93.883888
11390.625000	-94.484291
11437.500000	-94.112259
11484.375000	-94.991066
11531.250000	-94.720947
11578.125000	-92.133118
11625.000000	-91.868881
11671.875000	-94.504158
11718.750000	-93.211143
11765.625000	-95.481972
11812.500000	-93.962219
11859.375000	-95.283371
11906.250000	-95.858131
11953.125000	-92.156395
12000.000000	-94.354721
12046.875000	-95.200096
12093.750000	-95.373901
12140.625000	-94.857635
12187.500000	-95.276787
12234.375000	-91.591522
12281.250000	-91.883514
12328.125000	-94.236778
12375.000000	-96.335526
12421.875000	-94.761017
12468.750000	-91.129761
12515.625000	-93.205513
12562.500000	-94.154228
12609.375000	-91.936073
12656.250000	-91.109650
12703.125000	-96.574913
12750.000000	-96.162102
12796.875000	-96.928772
12843.750000	-91.839172
12890.625000	-95.431206
12937.500000	-95.197762
12984.375000	-91.059853
13031.250000	-91.669624
13078.125000	-92.954811
13125.000000	-95.464439
13171.875000	-96.463882
13218.750000	-96.606941
13265.625000	-96.521301
13312.500000	-96.629433
13359.375000	-96.619209
13406.250000	-96.574478
13453.125000	-96.614342
13500.000000	-96.697037
13546.875000	-95.791336
13593.750000	-96.997986
13640.625000	-95.699738
13687.500000	-97.102272
13734.375000	-95.251099
13781.250000	-96.363991
13828.125000	-96.827988
13875.000000	-96.848351
13921.875000	-96.830017
13968.750000	-96.767998
14015.625000	-96.872681
14062.500000	-96.966125
14109.375000	-96.942345
14156.250000	-96.846748
14203.125000	-96.996964
14250.000000	-96.966171
14296.875000	-97.032646
14343.750000	-96.958885
14390.625000	-97.119949
14437.500000	-96.984428
14484.375000	-97.148689
14531.250000	-97.015228
14578.125000	-97.159622
14625.000000	-97.128471
14671.875000	-97.180878
14718.750000	-97.191254
14765.625000	-97.281174
14812.500000	-96.993523
14859.375000	-97.334259
14906.250000	-97.257729
14953.125000	-97.281990
15000.000000	-97.286095
15046.875000	-97.328766
15093.750000	-97.392220
15140.625000	-97.326660
15187.500000	-97.255737
15234.375000	-97.364670
15281.250000	-97.578697
15328.125000	-97.322746
15375.000000	-97.400993
15421.875000	-97.471573
15468.750000	-97.446449
15515.625000	-97.531761
15562.500000	-97.431076
15609.375000	-97.435562
15656.250000	-97.755219
15703.125000	-97.518982
15750.000000	-97.503075
15796.875000	-97.619400
15843.750000	-97.505112
15890.625000	-97.569336
15937.500000	-97.810837
15984.375000	-97.587418
16031.250000	-97.573418
16078.125000	-97.712158
16125.000000	-97.675720
16171.875000	-97.744888
16218.750000	-97.634102
16265.625000	-97.772156
16312.500000	-97.809982
16359.375000	-97.749077
16406.250000	-97.752251
16453.125000	-97.796326
16500.000000	-97.779289
16546.875000	-97.849525
16593.750000	-97.830612
16640.625000	-97.868622
16687.500000	-97.844528
16734.375000	-97.901115
16781.250000	-97.795609
16828.125000	-98.003952
16875.000000	-97.806252
16921.875000	-98.018524
16968.750000	-97.945343
17015.625000	-97.900284
17062.500000	-98.023659
17109.375000	-97.946663
17156.250000	-98.129936
17203.125000	-98.048828
17250.000000	-97.862999
17296.875000	-98.065651
17343.750000	-98.161476
17390.625000	-98.029175
17437.500000	-98.118523
17484.375000	-98.030441
17531.250000	-98.143349
17578.125000	-98.088943
17625.000000	-98.139542
17671.875000	-98.104950
17718.750000	-98.259674
17765.625000	-98.110649
17812.500000	-98.172989
17859.375000	-98.267212
17906.250000	-98.107849
17953.125000	-98.284683
18000.000000	-98.070366
18046.875000	-98.285248
18093.750000	-98.248138
18140.625000	-98.264481
18187.500000	-98.239388
18234.375000	-98.191986
18281.250000	-98.446159
18328.125000	-98.262375
18375.000000	-98.181648
18421.875000	-98.449753
18468.750000	-98.172951
18515.625000	-98.558479
18562.500000	-97.991692
18609.375000	-98.447243
18656.250000	-98.533607
18703.125000	-98.255157
18750.000000	-98.519173
18796.875000	-98.265808
18843.750000	-98.579163
18890.625000	-98.388237
18937.500000	-98.314529
18984.375000	-98.468185
19031.250000	-98.440079
19078.125000	-98.436584
19125.000000	-98.493675
19171.875000	-98.486938
19218.750000	-98.430145
19265.625000	-98.509079
19312.500000	-98.512886
19359.375000	-98.416245
19406.250000	-98.695648
19453.125000	-98.498634
19500.000000	-98.463593
